Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DotNetClient\Wonde.NET.csproj,File,DotNetClient\Wonde\Helpers\JsonSerializeHelper.cs,23,12,T:System.Web.Script.Serialization.JavaScriptSerializer,,,,,JavaScriptSerializer ser = new JavaScriptSerializer();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DotNetClient\Wonde.NET.csproj,File,DotNetClient\Wonde\Helpers\JsonSerializeHelper.cs,23,12,M:System.Web.Script.Serialization.JavaScriptSerializer.#ctor,,,,,JavaScriptSerializer ser = new JavaScriptSerializer();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DotNetClient\Wonde.NET.csproj,File,DotNetClient\Wonde\Exceptions\InvalidStudentsAchievementsException.cs,20,105,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DotNetClient\Wonde.NET.csproj,File,DotNetClient\Wonde\Exceptions\InvalidStudentsAchievementsException.cs,20,105,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DotNetClient\Wonde.NET.csproj,File,DotNetClient\Wonde\Exceptions\InvalidTokenException.cs,20,90,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DotNetClient\Wonde.NET.csproj,File,DotNetClient\Wonde\Exceptions\InvalidTokenException.cs,20,90,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DotNetClient\Wonde.NET.csproj,File,DotNetClient\Wonde\Exceptions\InvalidSessionAttendanceException.cs,20,102,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DotNetClient\Wonde.NET.csproj,File,DotNetClient\Wonde\Exceptions\InvalidSessionAttendanceException.cs,20,102,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DotNetClient\Wonde.NET.csproj,File,DotNetClient\Wonde\Exceptions\ValidationErrorException.cs,23,93,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DotNetClient\Wonde.NET.csproj,File,DotNetClient\Wonde\Exceptions\ValidationErrorException.cs,23,93,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DotNetClient\Wonde.NET.csproj,File,DotNetClient\Wonde\Exceptions\InvalidStudentsBehavioursException.cs,20,103,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DotNetClient\Wonde.NET.csproj,File,DotNetClient\Wonde\Exceptions\InvalidStudentsBehavioursException.cs,20,103,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DotNetClient\Wonde.NET.csproj,File,DotNetClient\Wonde\Exceptions\InvalidLessonAttendanceException.cs,20,101,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DotNetClient\Wonde.NET.csproj,File,DotNetClient\Wonde\Exceptions\InvalidLessonAttendanceException.cs,20,101,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
